month,cpi
1983m1,97.90000000000001
1983m2,98
1983m3,98.09999999999999
1983m4,98.8
1983m5,99.2
1983m6,99.40000000000001
1983m7,99.8
1983m8,100.1
1983m9,100.4
1983m10,100.8
1983m11,101.1
1983m12,101.4
1984m1,102.1
1984m2,102.6
1984m3,102.9
1984m4,103.3
1984m5,103.5
1984m6,103.7
1984m7,104.1
1984m8,104.4
1984m9,104.7
1984m10,105.1
1984m11,105.3
1984m12,105.5
1985m1,105.7
1985m2,106.3
1985m3,106.8
1985m4,107
1985m5,107.2
1985m6,107.5
1985m7,107.7
1985m8,107.9
1985m9,108.1
1985m10,108.5
1985m11,109
1985m12,109.5
1986m1,109.9
1986m2,109.7
1986m3,109.1
1986m4,108.7
1986m5,109
1986m6,109.4
1986m7,109.5
1986m8,109.6
1986m9,110
1986m10,110.2
1986m11,110.4
1986m12,110.8
1987m1,111.4
1987m2,111.8
1987m3,112.2
1987m4,112.7
1987m5,113
1987m6,113.5
1987m7,113.8
1987m8,114.3
1987m9,114.7
1987m10,115
1987m11,115.4
1987m12,115.6
1988m1,116
1988m2,116.2
1988m3,116.5
1988m4,117.2
1988m5,117.5
1988m6,118
1988m7,118.5
1988m8,119
1988m9,119.5
1988m10,119.9
1988m11,120.3
1988m12,120.7
1989m1,121.2
1989m2,121.6
1989m3,122.2
1989m4,123.1
1989m5,123.7
1989m6,124.1
1989m7,124.5
1989m8,124.5
1989m9,124.8
1989m10,125.4
1989m11,125.9
1989m12,126.3
1990m1,127.5
1990m2,128
1990m3,128.6
1990m4,128.9
1990m5,129.1
1990m6,129.9
1990m7,130.5
1990m8,131.6
1990m9,132.5
1990m10,133.4
1990m11,133.7
1990m12,134.2
1991m1,134.7
1991m2,134.8
1991m3,134.8
1991m4,135.1
1991m5,135.6
1991m6,136
1991m7,136.2
1991m8,136.6
1991m9,137
1991m10,137.2
1991m11,137.8
1991m12,138.2
1992m1,138.3
1992m2,138.6
1992m3,139.1
1992m4,139.4
1992m5,139.7
1992m6,140.1
1992m7,140.5
1992m8,140.8
1992m9,141.1
1992m10,141.7
1992m11,142.1
1992m12,142.3
1993m1,142.8
1993m2,143.1
1993m3,143.3
1993m4,143.8
1993m5,144.2
1993m6,144.3
1993m7,144.5
1993m8,144.8
1993m9,145
1993m10,145.6
1993m11,146
1993m12,146.3
1994m1,146.3
1994m2,146.7
1994m3,147.1
1994m4,147.2
1994m5,147.5
1994m6,147.9
1994m7,148.4
1994m8,149
1994m9,149.3
1994m10,149.4
1994m11,149.8
1994m12,150.1
1995m1,150.5
1995m2,150.9
1995m3,151.2
1995m4,151.8
1995m5,152.1
1995m6,152.4
1995m7,152.6
1995m8,152.9
1995m9,153.1
1995m10,153.5
1995m11,153.7
1995m12,153.9
1996m1,154.7
1996m2,155
1996m3,155.5
1996m4,156.1
1996m5,156.4
1996m6,156.7
1996m7,157
1996m8,157.2
1996m9,157.7
1996m10,158.2
1996m11,158.7
1996m12,159.1
1997m1,159.4
1997m2,159.7
1997m3,159.8
1997m4,159.9
1997m5,159.9
1997m6,160.2
1997m7,160.4
1997m8,160.8
1997m9,161.2
1997m10,161.5
1997m11,161.7
1997m12,161.8
1998m1,162
1998m2,162
1998m3,162
1998m4,162.2
1998m5,162.6
1998m6,162.8
1998m7,163.2
1998m8,163.4
1998m9,163.5
1998m10,163.9
1998m11,164.1
1998m12,164.4
1999m1,164.7
1999m2,164.7
1999m3,164.8
1999m4,165.9
1999m5,166
1999m6,166
1999m7,166.7
1999m8,167.1
1999m9,167.8
1999m10,168.1
1999m11,168.4
1999m12,168.8
2000m1,169.3
2000m2,170
2000m3,171
2000m4,170.9
2000m5,171.2
2000m6,172.2
2000m7,172.7
2000m8,172.7
2000m9,173.6
2000m10,173.9
2000m11,174.2
2000m12,174.6
2001m1,175.6
2001m2,176
2001m3,176.1
2001m4,176.4
2001m5,177.3
2001m6,177.7
2001m7,177.4
2001m8,177.4
2001m9,178.1
2001m10,177.6
2001m11,177.5
2001m12,177.4
2002m1,177.7
2002m2,178
2002m3,178.5
2002m4,179.3
2002m5,179.5
2002m6,179.6
2002m7,180
2002m8,180.5
2002m9,180.8
2002m10,181.2
2002m11,181.5
2002m12,181.8
2003m1,182.6
2003m2,183.6
2003m3,183.9
2003m4,183.2
2003m5,182.9
2003m6,183.1
2003m7,183.7
2003m8,184.5
2003m9,185.1
2003m10,184.9
2003m11,185
2003m12,185.5
2004m1,186.3
2004m2,186.7
2004m3,187.1
2004m4,187.4
2004m5,188.2
2004m6,188.9
2004m7,189.1
2004m8,189.2
2004m9,189.8
2004m10,190.8
2004m11,191.7
2004m12,191.7
2005m1,191.6
2005m2,192.4
2005m3,193.1
2005m4,193.7
2005m5,193.6
2005m6,193.7
2005m7,194.9
2005m8,196.1
2005m9,198.8
2005m10,199.1
2005m11,198.1
2005m12,198.1
2006m1,199.3
2006m2,199.4
2006m3,199.7
2006m4,200.7
2006m5,201.3
2006m6,201.8
2006m7,202.9
2006m8,203.8
2006m9,202.8
2006m10,201.9
2006m11,202
2006m12,203.1
2007m1,203.437
2007m2,204.226
2007m3,205.288
2007m4,205.904
2007m5,206.755
2007m6,207.234
2007m7,207.603
2007m8,207.667
2007m9,208.547
2007m10,209.19
2007m11,210.834
2007m12,211.445
2008m1,212.174
2008m2,212.687
2008m3,213.448
2008m4,213.942
2008m5,215.208
2008m6,217.463
2008m7,219.016
2008m8,218.69
2008m9,218.877
2008m10,216.995
2008m11,213.153
2008m12,211.398
2009m1,211.933
2009m2,212.705
2009m3,212.495
2009m4,212.709
2009m5,213.022
2009m6,214.79
2009m7,214.726
2009m8,215.445
2009m9,215.861
2009m10,216.509
2009m11,217.234
2009m12,217.347
2010m1,217.488
2010m2,217.281
2010m3,217.353
2010m4,217.403
2010m5,217.29
2010m6,217.199
2010m7,217.605
2010m8,217.923
2010m9,218.275
2010m10,219.035
2010m11,219.59
2010m12,220.472
2011m1,221.187
2011m2,221.898
2011m3,223.046
2011m4,224.093
2011m5,224.806
2011m6,224.806
2011m7,225.395
2011m8,226.106
2011m9,226.597
2011m10,226.75
2011m11,227.169
2011m12,227.223
2012m1,227.842
2012m2,228.329
2012m3,228.807
2012m4,229.187
2012m5,228.713
2012m6,228.524
2012m7,228.59
2012m8,229.918
2012m9,231.015
2012m10,231.638
2012m11,231.249
2012m12,231.221
2013m1,231.679
2013m2,232.937
2013m3,232.282
2013m4,231.797
2013m5,231.893
2013m6,232.445
2013m7,232.9
2013m8,233.456
2013m9,233.544
2013m10,233.669
2013m11,234.1
2013m12,234.719
2014m1,235.288
2014m2,235.547
2014m3,236.028
2014m4,236.468
2014m5,236.918
2014m6,237.231
2014m7,237.498
2014m8,237.46
2014m9,237.477
2014m10,237.43
2014m11,236.983
2014m12,236.252
2015m1,234.718
2015m2,235.236
2015m3,236.005
2015m4,236.156
2015m5,236.974
2015m6,237.684
2015m7,238.053
2015m8,238.028
2015m9,237.506
2015m10,237.781
2015m11,238.016
2015m12,237.817
2016m1,237.833
2016m2,237.469
2016m3,238.038
2016m4,238.827
2016m5,239.464
2016m6,240.167
2016m7,240.15
2016m8,240.602
2016m9,241.051
2016m10,241.691
2016m11,242.029
2016m12,242.772
2017m1,243.78
2017m2,243.961
2017m3,243.749
2017m4,244.051
2017m5,243.962
2017m6,244.182
2017m7,244.39
2017m8,245.297
2017m9,246.418
2017m10,246.587
2017m11,247.332
2017m12,247.901
2018m1,248.884
2018m2,249.369
2018m3,249.498
2018m4,249.956
2018m5,250.646
2018m6,251.134
2018m7,251.597
2018m8,251.879
2018m9,252.01
2018m10,252.794
2018m11,252.76
2018m12,252.723
